EL ESPIA QUE SURGIO DEL FRIO;;
MEMENTO;;
Yo confieso (1953);Alfred Hitchcock;1953
PEQUEÑA MISS SUNSHINE;;
TIERRA SIN PAN;;
Viento en las velas (1965) ;;
VOLVER;;
Agente 007 contra Dr. No (1962);Terence Young;1962
Con faldas y a lo loco  [1959];Billy Wilder;1959
EL SIGNO DEL ZORRO (1940);Richard Brooks;
DRACULA de Terence Fisher);;
LA ESTRADA;;
La vida es bella;Roberto Benigni;1997
LA DALIA NEGRA   ;Brian de Palma;
LA DOLCE VITA;Federico Fellini;
La verdadera historia de Jesse James (1957) ;Nicholas Ray;1957
PACTAR CON EL DIABLO;;1997
PACTAR CON EL DIABLO;;1997
M, el vampiro de Düsseldorf;Fritz Lang;1931
LAS AMISTADES PELIGROSAS;;
LAS NOCHES DE CABIRA;;
LOS TIMADORES;;
MI HERMOSA LAVANDERIA;;
Crimen perfecto (1954);Alfred Hitchcock;
Marnie, la ladrona (1964);Alfred Hitchcock;1964
Corrupción en Miami (2006);Michael Mann;
HISTORIAS EXTRAORDINARIAS;;
Primera plana  [1974];Billy Wilder;1974
Y LA NAVE VA;Federico Fellini;
CAFÉ IRLANDES - THE SNAPPER;;
VIDAS CRUZADAS;;
Amarcord (Mis Recuerdos);Federico Fellini;1974
James Bond contra Goldfinger;Guy Hamilton;1964
Primera plana  [1974];Billy Wilder;1974
Battle Royale;Kinji Fukasaku;2000
DOLLS;;
12 Monos (1995);Terry Gilliam;1995
El quinto elemento (1997);;1997
Dersu Uzala (El cazador)  [1975];Akira Kurosawa;1975
El perro rabioso  [1949];Akira Kurosawa;1949
Vivir  [1952];Akira Kurosawa;
La soga (1948);Alfred Hitchcock;1948
UN PUENTE LEJANO;;1977
BRUBEIKER;;
MONSTRUOS, S.A.;;
Guerra y paz (1956);King Vidor;1956
Casino Royale (1967) actor, Director;John Huston;1967
RETORNO AL PASADO;Jacques Tourneur;
La habitación del hijo  [2001];Nanni Moretti;2001
LAS VIRGENES SUICIDAS;;
Rashomon  [1950];Akira Kurosawa;1950
Qué bello es vivir!  [1946];Frank Capra;
UN PERRO ANDALUZ;Luis Buñuel;
Rebelde sin causa (1955);Nicholas Ray;1955
THE LAST NIGHT;;
Al rojo vivo (1949);Raoul Walsh;1949
¿Arde París?;René Clément;1966
Abril  [1998];Nanni Moretti;1998
Arizona Baby;Joel Coen;1987
CANTANDO BAJO LA LLUVIA;Stanley Donnen;1952
Los olvidados;Luis Buñuel;1950
Anatomía de un asesinato  [1959];Otto Preminger;1959
EL ILUSIONISTA;;
LA SANTA INQUISICION;;
LAS 7 MARAVILLAS DEL MUNDO;;
ALICIA EN LAS CIUDADES;Wim Wenders;1974
EL CAMINO DE LOS INGLESES;;
EL VIAJE DE CHIHIRO;;
Vértigo (De entre los muertos) (1958);Alfred Hitchcock;1958
SCARFACE - 1932;Howard Hawks;
Tempestad sobre Washington  [1962];Otto Preminger;1962
HITCHCOCK PRES, EL PACIENTE IMPACIENTE;;
TAXI DRIVER;;
Primera plana  [1974];Billy Wilder;1974
El último mohicano (1992) Director, Guionista;Michael Mann;1992
Laura  [1944];Otto Preminger;1944
LA VIDA DE DAVID GALE;;
LOCOS EN ALABAMA;;
DESNUDOS PINTURA (FRIKI);;
LENOX LEVIS vs TYSON;;
UNA HISTORIA VERDADERA;David Lynch;
KIDS  SPANISH (LARRY CLARK);;
NATION;;
ROCKY BALBOA (ROCKY VI);;
VERA CRUZ ;;
Banderas de nuestros padres  [2006];Clint Eastwood;2006
BORAT;;
BOXEO- MOHAMED ALI vs FOREMAN 1974;;
CANDIDA;;
ERAGON;;2006
ROCKY BALBOA (ROCKY VI);;2006
CIBERLYNK POWER;;
MANHATTAN TRANSFER;;
MAPLE 6,2;;
ROD STEWART;;
THE BESTO OF ROCK;;
THE LIONS;;
Los cuatrocientos golpes  [1959];François Truffaut;1959
LA JAURIA HUMANA;;1966
MAS DURA SERA LA CAIDA;;1956
STONED  (Los Stones);;2005
VIVA ZAPATA;;1952
La semilla del diablo  [1968];Roman Polanski;1968
BRASIL LO NUNCA VISTO;;
CONOCES A JOE BLACK?;;1998
HOLLYWOODLAND;;2006
LA CHICA DEL GANGSTER;;1993
THELMA & LOUISE;;1991
